block,m_children,rho1,rho2,rho3,sigma,m_lat,seed,absorbed,cos_comp,cos_parent,cos_child,comp_idx,parent_idx,rec,comp_fire_rate,rho_hat_gmm,gmm_mu_lo,gmm_mu_hi,gmm_w_hi,n_fire,rho_hat_bin,fire|host_only,fire|joint,act|host_only,act|joint,tv_full,tv_null,tv_inplane,tv_inplane_null,tv_cond,h4_mus,h4_ws
R,1,0.02,0,0,0.0,32,0,0,0.7032,0.9746,0.051,5,5,0.1004,0.24988,0.44607,0.8431,0.8718,0.44607,49977,1.0,1.0,1.0,0.8556,0.8707,0.26141,0.26148,0.00051,0.00091,0.37891,,
R,1,0.02,0,0,0.0,32,1,0,0.7284,0.9753,0.1034,12,12,0.1561,0.26034,0.96008,0.0149,0.8611,0.96008,52069,1.0,1.0,1.0,0.8599,0.9166,0.24149,0.2397,0.00149,0.00098,0.34732,,
R,1,0.02,0,0,0.0,32,2,1,0.995,0.9856,0.7228,13,3,0.0878,0.00489,0.37986,1.2785,1.3012,0.37986,978,0.01959,0.0,1.0,nan,1.2871,0.28586,0.263,0.04499,0.00247,1.0,,
R,1,0.02,0,0,0.0,32,3,0,0.7116,0.9832,0.1596,6,6,0.172,0.25417,0.98844,0.0135,0.8604,0.98844,50835,1.0,1.0,1.0,0.86,0.8805,0.23769,0.24137,0.00062,0.00069,0.35266,,
R,1,0.02,0,0,0.0,32,4,1,0.9867,0.9837,0.7008,15,19,0.0857,0.03376,0.15758,0.0133,1.2774,0.15758,6752,0.0218,0.1164,1.0,0.0133,1.2774,0.28526,0.26268,0.04482,5e-05,1.0,,
R,1,0.02,0,0,0.0,32,5,0,0.7324,0.9822,0.0703,23,23,0.0919,0.25039,0.26567,0.8579,0.8733,0.26567,50077,1.0,1.0,1.0,0.8609,0.914,0.26156,0.26241,0.00108,0.00117,0.37378,,
R,1,0.02,0,0,0.0,32,6,0,0.7126,0.9727,0.0566,26,26,0.091,0.25157,0.99872,0.5719,0.8539,0.99872,50314,1.0,1.0,1.0,0.8531,0.8903,0.26168,0.26115,0.00039,0.00036,0.367,,
R,1,0.02,0,0,0.0,32,7,0,0.6983,0.9867,0.0405,18,18,0.0986,0.25123,0.43956,0.8512,0.8821,0.43956,50247,1.0,1.0,1.0,0.8648,0.8671,0.26302,0.2632,0.00203,0.00293,0.37387,,
R,1,0.02,0,0,0.0,32,8,0,0.7065,0.9805,0.3357,9,9,0.0923,0.25012,0.61673,0.8151,0.8677,0.61673,50024,1.0,1.0,1.0,0.8469,0.8771,0.26533,0.26198,0.00685,0.00135,0.437,,
R,1,0.02,0,0,0.0,32,9,0,0.6947,0.9924,0.4571,27,27,0.0926,0.25044,0.99294,0.7336,0.8659,0.99294,50088,1.0,1.0,1.0,0.8654,0.8602,0.26125,0.26107,0.00089,0.00179,0.37147,,
