cond,rho,eps,b_rate,sigma,seed,absorbed,cos_comp,cos_child,cos_b,n_flagged,tp_flagged,fp_count,tp_cos,tp_lift,rate_i,rate_j,rec,orient_ok,child_res_cos,rho_hat
A,0.05,0.0,0.0,0.0,0,1,0.9865,0.7107,0.6788,1,1,0,0.6901,0.0721,0.23754,0.01256,0.0968,1,0.9833,0.05026
A,0.05,0.0,0.0,0.0,1,1,0.9961,0.7133,0.701,1,1,0,0.7102,0.0,0.23702,0.01293,0.0871,1,0.9813,0.05171
A,0.05,0.0,0.0,0.0,2,0,0.7244,0.1025,0.6919,0,0,0,1.0,4.0058,0.24964,0.24964,0.1737,,,
A,0.05,0.0,0.0,0.0,3,1,0.996,0.7039,0.6798,1,1,0,0.6906,0.316,0.01373,0.23855,0.0912,1,0.9769,0.05465
A,0.05,0.0,0.0,0.0,4,0,0.7266,0.0442,0.6819,0,0,0,1.0,4.0066,0.24959,0.24959,0.0953,,,
A,0.05,0.0,0.0,0.0,5,1,0.9916,0.7062,0.6711,1,1,0,0.7186,0.0016,0.01277,0.23762,0.0876,1,0.9786,0.051
A,0.05,0.0,0.0,0.0,6,1,0.9922,0.721,0.6962,1,1,0,0.6929,0.1017,0.23927,0.01253,0.0908,1,0.9867,0.04982
A,0.05,0.0,0.0,0.0,7,1,0.9904,0.704,0.6866,0,0,0,0.6835,0.8149,0.0158,0.23851,0.0946,,,
A,0.05,0.0,0.0,0.0,8,0,0.7298,0.6847,0.6866,1,0,1,1.0,3.9982,0.25011,0.25011,0.1,,,
A,0.05,0.0,0.0,0.0,9,1,0.9898,0.7145,0.6791,1,1,0,0.6513,2.8609,0.03976,0.23763,0.09,1,0.9876,0.15881
A,0.05,0.0,0.0,0.0,10,0,0.7099,0.0807,0.6865,0,0,0,1.0,4.0046,0.24971,0.24971,0.0991,,,
A,0.05,0.0,0.0,0.0,11,1,0.9956,0.7194,0.7207,1,1,0,0.6976,0.0,0.23875,0.01256,0.0837,1,0.9896,0.04998
A,0.05,0.0,0.0,0.0,12,1,0.9905,0.7217,0.7059,1,1,0,0.6654,0.2352,0.23699,0.01282,0.0913,1,0.9908,0.05149
A,0.05,0.0,0.0,0.0,13,0,0.7257,0.1531,0.6805,0,0,0,1.0,4.0074,0.24954,0.24954,0.1693,,,
A,0.05,0.0,0.0,0.0,14,1,0.9956,0.6947,0.7022,1,1,0,0.716,0.0,0.23875,0.01227,0.084,1,0.9825,0.0489
A,0.05,0.0,0.0,0.0,15,1,0.9879,0.7416,0.6893,1,1,0,0.6218,3.7098,0.03914,0.24779,0.0923,1,0.9641,0.15595
A,0.05,0.0,0.0,0.1,0,0,0.9749,0.7004,0.6721,1,1,0,0.6006,3.1356,0.18518,0.26904,0.6132,1,0.9438,0.62139
A,0.05,0.0,0.0,0.1,1,0,0.8527,0.9535,0.6992,0,0,0,0.2401,1.7865,0.10219,0.28957,0.6093,,,
A,0.05,0.0,0.0,0.1,2,1,0.9803,0.7718,0.6894,1,1,0,0.5387,3.0801,0.16151,0.27316,0.6058,1,0.9716,0.54056
A,0.05,0.0,0.0,0.1,3,1,0.9867,0.6794,0.6808,1,1,0,0.6132,3.2342,0.26699,0.20396,0.6037,1,0.9436,0.69178
A,0.05,0.0,0.0,0.1,4,0,0.9749,0.7167,0.6829,1,1,0,0.5991,3.1222,0.16093,0.27067,0.6058,1,0.9464,0.54442
A,0.05,0.0,0.0,0.1,5,0,0.9488,0.8577,0.6761,1,1,0,0.4696,2.4378,0.10877,0.28108,0.6102,1,0.9697,0.34494
A,0.05,0.0,0.0,0.1,6,0,0.9727,0.6709,0.6841,1,1,0,0.599,3.2091,0.21393,0.26981,0.6048,1,0.9165,0.71666
A,0.05,0.0,0.0,0.1,7,0,0.9792,0.697,0.693,1,1,0,0.5949,3.1738,0.18531,0.27065,0.6104,1,0.9435,0.6244
A,0.05,0.0,0.0,0.1,8,1,0.9919,0.7561,0.6824,1,1,0,0.5543,3.0886,0.27252,0.1889,0.609,1,0.9804,0.62463
A,0.05,0.0,0.0,0.1,9,0,0.9776,0.7836,0.6778,1,1,0,0.5051,3.0241,0.17642,0.27485,0.6054,1,0.9755,0.57912
A,0.05,0.0,0.0,0.1,10,1,0.9802,0.7999,0.6915,1,1,0,0.5095,2.9366,0.2758,0.16981,0.6082,1,0.9884,0.55119
A,0.05,0.0,0.0,0.1,11,0,0.9171,0.9156,0.719,0,0,0,0.3521,2.2623,0.10792,0.28636,0.6071,,,
A,0.05,0.0,0.0,0.1,12,1,0.9802,0.7818,0.7012,1,1,0,0.518,2.9729,0.27621,0.17432,0.6127,1,0.9769,0.5671
A,0.05,0.0,0.0,0.1,13,1,0.9889,0.7429,0.68,1,1,0,0.6053,3.0784,0.14734,0.26934,0.6063,1,0.9774,0.50028
A,0.05,0.0,0.0,0.1,14,1,0.9901,0.6995,0.707,1,1,0,0.6518,3.0871,0.15399,0.27076,0.6058,1,0.9637,0.52019
A,0.05,0.0,0.0,0.1,15,1,0.9933,0.7426,0.6891,1,1,0,0.5689,3.066,0.27485,0.19412,0.6073,1,0.971,0.63564
A,0.1,0.0,0.0,0.0,0,1,0.9843,0.7101,0.6783,1,1,0,0.6891,0.0203,0.02521,0.22479,0.0956,1,0.9819,0.10089
A,0.1,0.0,0.0,0.0,1,1,0.9935,0.7002,0.7025,1,1,0,0.7148,0.0,0.02561,0.22433,0.0859,1,0.9704,0.10246
A,0.1,0.0,0.0,0.0,2,1,0.9921,0.7213,0.6917,1,1,0,0.6745,0.0044,0.02547,0.2242,0.089,1,0.9917,0.10201
A,0.1,0.0,0.0,0.0,3,1,0.9953,0.7029,0.6793,1,1,0,0.6909,0.0761,0.02557,0.22611,0.0892,1,0.9767,0.10178
A,0.1,0.0,0.0,0.0,4,1,0.9804,0.6946,0.6803,1,1,0,0.6927,0.0088,0.22428,0.02536,0.0867,1,0.9696,0.10163
A,0.1,0.0,0.0,0.0,5,1,0.9909,0.704,0.6713,1,1,0,0.7188,0.0009,0.2249,0.02549,0.0878,1,0.9778,0.10178
A,0.1,0.0,0.0,0.0,6,0,0.7733,0.1258,0.6974,0,0,0,1.0,3.9763,0.25149,0.25149,0.1096,,,
A,0.1,0.0,0.0,0.0,7,1,0.9878,0.7012,0.6882,1,1,0,0.6835,0.3153,0.027,0.22617,0.0955,1,0.9769,0.10745
A,0.1,0.0,0.0,0.0,8,0,0.7665,0.1199,0.6835,0,0,0,1.0,3.9982,0.25011,0.25011,0.1042,,,
A,0.1,0.0,0.0,0.0,9,1,0.9887,0.7203,0.6786,0,0,0,0.647,1.7564,0.04101,0.22559,0.0918,,,
A,0.1,0.0,0.0,0.0,10,1,0.9889,0.7345,0.6901,0,0,0,0.6491,1.1769,0.22481,0.03386,0.0906,,,
A,0.1,0.0,0.0,0.0,11,1,0.9948,0.7179,0.7207,1,1,0,0.6978,0.0,0.02563,0.22568,0.0808,1,0.9895,0.10198
A,0.1,0.0,0.0,0.0,12,1,0.9887,0.7243,0.7058,1,1,0,0.6627,0.0884,0.22467,0.02492,0.0929,1,0.9901,0.10006
A,0.1,0.0,0.0,0.0,13,0,0.7617,0.0998,0.6768,0,0,0,1.0,4.0087,0.24946,0.24946,0.1124,,,
A,0.1,0.0,0.0,0.0,14,1,0.9946,0.6922,0.7033,1,1,0,0.7164,0.0,0.02493,0.22609,0.0829,1,0.9813,0.09931
A,0.1,0.0,0.0,0.0,15,1,0.9963,0.7107,0.6878,1,1,0,0.6686,2.5626,0.22654,0.05816,0.093,1,0.9765,0.23177
A,0.1,0.0,0.0,0.1,0,1,0.9811,0.7273,0.6762,1,1,0,0.5943,3.0494,0.17635,0.26292,0.6082,1,0.9652,0.59202
A,0.1,0.0,0.0,0.1,1,1,0.9907,0.7082,0.6975,1,1,0,0.6228,3.1017,0.26195,0.17985,0.6076,1,0.9527,0.60825
A,0.1,0.0,0.0,0.1,2,0,0.7678,0.1044,0.693,0,0,0,1.0,3.48,0.28736,0.28736,0.6333,,,
A,0.1,0.0,0.0,0.1,3,1,0.9917,0.7027,0.6812,1,1,0,0.6069,3.1579,0.19825,0.25956,0.6106,1,0.9596,0.67131
A,0.1,0.0,0.0,0.1,4,0,0.9793,0.7276,0.6844,1,1,0,0.6032,3.0581,0.16065,0.26405,0.6075,1,0.961,0.54462
A,0.1,0.0,0.0,0.1,5,1,0.9873,0.7339,0.6764,1,1,0,0.6365,2.9963,0.26465,0.14112,0.6038,1,0.9666,0.48022
A,0.1,0.0,0.0,0.1,6,1,0.9877,0.7236,0.6911,1,1,0,0.6,3.1047,0.2629,0.18581,0.6073,1,0.9635,0.62553
A,0.1,0.0,0.0,0.1,7,1,0.983,0.7308,0.6939,1,1,0,0.5862,3.0727,0.26514,0.17722,0.612,1,0.9618,0.59475
