m,eps,seed,absorbed,cos_comp,cos_child,par_idx,comp_idx,distinct,tp_cos,tp_lift,rate_par,rate_comp,n_flagged,tp_flagged,comp_fire_joint,comp_fire_psolo,par_fire_joint,par_fire_psolo,child_res_cos,rho_hat
128,0.002,0,1,0.9941,0.7474,72,96,1,0.5852,1.9859,0.35597,0.35079,3,0,1.0,0.6413,0.596,0.9982,,
128,0.002,1,1,0.9948,0.747,98,62,1,0.5948,2.015,0.35222,0.3392,4,1,0.998,0.6001,0.5956,0.9982,0.9909,0.75265
128,0.002,2,1,0.9954,0.7441,37,68,1,0.591,1.9613,0.34818,0.35185,3,0,1.0,0.6283,0.5667,0.9979,,
128,0.002,3,1,0.9938,0.7466,29,72,1,0.5867,1.968,0.34797,0.35369,4,0,0.9979,0.6293,0.5813,1.0,,
128,0.002,4,1,0.9937,0.7452,68,57,1,0.5866,1.9722,0.35278,0.3568,3,0,1.0,0.643,0.5945,0.9979,,
128,0.002,5,1,0.9934,0.7484,83,7,1,0.5816,1.9694,0.35833,0.34923,3,0,1.0,0.6161,0.6187,0.9979,,
128,0.002,6,1,0.995,0.7515,84,61,1,0.586,1.9599,0.3566,0.34545,3,0,1.0,0.6005,0.6058,0.998,,
128,0.002,7,1,0.9954,0.7478,19,0,1,0.5845,1.9454,0.35489,0.35349,3,0,1.0,0.6367,0.5783,1.0,,
128,0.05,0,0,0.8746,0.953,21,60,1,0.2936,1.6606,0.44938,0.32804,3,0,1.0,0.2028,0.9999,1.0,,
128,0.05,1,0,0.8668,0.9591,17,21,1,0.2854,1.6688,0.44103,0.32179,3,0,0.998,0.1712,0.998,0.9982,,
128,0.05,2,0,0.8753,0.952,9,51,1,0.2995,1.6513,0.44717,0.32903,4,0,1.0,0.1896,0.9979,0.9979,,
128,0.05,3,0,0.8627,0.9582,37,99,1,0.2771,1.6394,0.44418,0.33284,3,0,0.9979,0.1934,1.0,1.0,,
128,0.05,4,0,0.8595,0.9601,107,48,1,0.2734,1.6265,0.44631,0.33248,3,0,1.0,0.1844,0.9979,0.9979,,
128,0.05,5,0,0.87,0.9557,86,118,1,0.2791,1.6511,0.44525,0.33133,3,0,1.0,0.2017,0.9985,0.9979,,
128,0.05,6,0,0.8775,0.9535,92,126,1,0.2931,1.6416,0.4496,0.33188,3,0,1.0,0.2089,0.9978,0.9981,,
128,0.05,7,0,0.8761,0.9525,90,11,1,0.2948,1.6418,0.45373,0.32998,3,0,1.0,0.2063,0.9999,1.0,,
256,0.002,0,1,0.9938,0.7412,115,81,1,0.6009,2.0514,0.33003,0.33453,11,1,1.0,0.604,0.5282,0.9982,0.6611,0.75336
256,0.002,1,1,0.9945,0.7405,16,163,1,0.6141,2.0752,0.33164,0.31824,12,1,0.998,0.5463,0.5428,0.9982,0.9912,0.73862
256,0.002,2,1,0.9955,0.7376,245,20,1,0.6088,2.045,0.32776,0.32756,12,1,1.0,0.5663,0.5275,0.9979,0.9906,0.7517
256,0.002,3,1,0.9938,0.7389,118,101,1,0.6047,2.0614,0.3271,0.33058,13,1,1.0,0.5891,0.5282,1.0,0.6623,0.75235
256,0.002,4,1,0.9928,0.7399,92,118,1,0.6011,2.0532,0.32954,0.33292,14,1,1.0,0.5887,0.5369,0.9979,0.6593,0.75374
256,0.002,5,1,0.9931,0.7413,195,177,1,0.5989,2.0685,0.33363,0.3251,11,1,1.0,0.5664,0.5606,0.9979,0.9894,0.74844
256,0.002,6,1,0.9948,0.7444,192,161,1,0.603,2.0382,0.33421,0.32652,10,1,1.0,0.5599,0.5529,0.9981,0.991,0.74494
256,0.002,7,1,0.9955,0.7402,16,68,1,0.6033,2.0482,0.32732,0.32839,10,1,1.0,0.586,0.5121,1.0,0.6628,0.75151
256,0.05,0,0,0.8746,0.9511,12,57,1,0.3006,1.7633,0.43524,0.30706,9,0,1.0,0.1649,1.0,1.0,,
256,0.05,1,0,0.8661,0.9575,105,106,1,0.2954,1.7679,0.4323,0.29652,10,0,0.998,0.1272,1.0,1.0,,
256,0.05,2,0,0.8765,0.9493,142,191,1,0.306,1.76,0.43375,0.30684,8,0,1.0,0.1582,0.9979,0.9979,,
256,0.05,3,0,0.8608,0.9576,75,100,1,0.2755,1.7464,0.43273,0.30345,10,0,0.9979,0.145,1.0,1.0,,
256,0.05,4,0,0.8583,0.9588,224,5,1,0.2729,1.7205,0.43238,0.31091,13,0,1.0,0.1481,0.9979,0.9979,,
256,0.05,5,0,0.8698,0.9551,11,93,1,0.2836,1.7548,0.43294,0.30611,10,0,1.0,0.1581,0.9985,0.9979,,
256,0.05,6,0,0.8779,0.9521,41,68,1,0.3,1.7597,0.43533,0.30588,9,0,1.0,0.1635,0.998,0.9981,,
256,0.05,7,0,0.8754,0.9512,222,83,1,0.297,1.7579,0.43806,0.30507,8,0,1.0,0.163,0.9999,1.0,,
