arm,m,k,lam,q,p,eps,seed,child_recovered,absorbed,comp_present,cos_child_signed,fire_child_csolo,fire_child_psolo,comp_fire_joint,cos_comp_best,phi_child,rec,eps_star_topk
A,2,1,0.0,0.1,0.1,0.0,0,0,0,0,0.5166,0.0,0.0,0.0,0.2526,107.14,0.2935,0.2
A,2,1,0.0,0.1,0.1,0.0,1,0,0,0,0.4207,0.0,0.0,0.0,0.1623,nan,0.3203,0.2
A,2,1,0.0,0.1,0.1,0.0,2,0,0,0,0.3575,0.0,0.0,0.0,0.5045,45.12,0.3169,0.2
A,2,1,0.0,0.1,0.1,0.0,3,0,0,0,0.4798,0.0,0.0,0.0,0.6159,64.5,0.2915,0.2
A,2,1,0.0,0.1,0.1,0.0,4,0,0,0,0.1871,0.0,0.0,0.0,0.354,nan,0.2949,0.2
A,2,1,0.0,0.1,0.1,0.0,5,0,0,0,0.3879,0.0,0.0,0.0,0.7575,nan,0.3179,0.2
A,2,1,0.0,0.1,0.1,0.0,6,0,0,0,0.0191,0.0,0.0,0.0,-0.0283,nan,0.2842,0.2
A,2,1,0.0,0.1,0.1,0.0,7,0,1,1,0.5297,0.0,1.0,1.0,0.9743,31.98,0.0379,0.2
A,2,1,0.0,0.1,0.1,0.0,8,0,0,0,0.0612,0.0,0.0,0.0,-0.1145,nan,0.2827,0.2
A,2,1,0.0,0.1,0.1,0.0,9,0,1,1,0.5261,0.0,1.0,1.0,0.9733,31.74,0.0381,0.2
A,2,1,0.0,0.1,0.1,0.0,10,0,0,0,-0.1778,0.0,0.0,0.0,0.1486,nan,0.2988,0.2
A,2,1,0.0,0.1,0.1,0.0,11,0,1,1,0.5231,0.0,1.0,1.0,0.9725,31.54,0.0364,0.2
A,2,1,0.0,0.1,0.1,0.0,12,0,0,0,0.3617,0.0,0.0,0.0,0.601,36.53,0.2725,0.2
A,2,1,0.0,0.1,0.1,0.0,13,0,1,1,0.5246,0.0,1.0,1.0,0.9729,31.64,0.0363,0.2
A,2,1,0.0,0.1,0.1,0.0,14,0,0,0,0.3592,0.0,0.0,0.0,0.6201,34.75,0.3135,0.2
A,2,1,0.0,0.1,0.1,0.0,15,0,1,1,0.5318,0.0,1.0,1.0,0.9749,99.2,0.0379,0.2
A,2,1,0.0,0.1,0.1,0.0,16,0,0,0,0.5828,0.0,0.0,0.0,0.0225,nan,0.3267,0.2
A,2,1,0.0,0.1,0.1,0.0,17,0,0,0,0.5244,0.0,0.0,0.0,0.1488,nan,0.292,0.2
A,2,1,0.0,0.1,0.1,0.0,18,0,1,1,0.5211,0.0,1.0,1.0,0.972,31.41,0.0373,0.2
A,2,1,0.0,0.1,0.1,0.0,19,0,0,0,0.2973,0.0,0.0,0.0,0.3745,nan,0.2983,0.2
A,2,1,0.0,0.1,0.1,0.0,20,0,0,0,-0.0411,0.0,0.0,0.0,-0.0372,nan,0.3213,0.2
A,2,1,0.0,0.1,0.1,0.0,21,0,1,1,0.5269,0.0,1.0,1.0,0.9736,31.8,0.0403,0.2
A,2,1,0.0,0.1,0.1,0.0,22,0,1,1,0.5258,0.0,1.0,1.0,0.9733,31.72,0.0392,0.2
A,2,1,0.0,0.1,0.1,0.0,23,0,0,0,0.2077,0.0,0.0,0.0,0.4318,nan,0.3052,0.2
A,2,1,0.0,0.1,0.1,0.05,0,1,0,1,1.0,1.0,0.0,1.0,0.9734,90.0,0.0361,0.2
A,2,1,0.0,0.1,0.1,0.05,1,0,1,1,0.6204,1.0,1.0,1.0,0.9933,38.34,0.0722,0.2
A,2,1,0.0,0.1,0.1,0.05,2,0,0,0,-0.3747,0.0,0.0,0.0,-0.3903,nan,0.3364,0.2
A,2,1,0.0,0.1,0.1,0.05,3,0,1,1,0.6159,1.0,1.0,1.0,0.9926,38.02,0.0737,0.2
A,2,1,0.0,0.1,0.1,0.05,4,0,1,1,0.614,1.0,1.0,1.0,0.9923,104.79,0.0728,0.2
A,2,1,0.0,0.1,0.1,0.05,5,1,0,1,1.0,1.0,0.0,1.0,0.9732,90.0,0.0392,0.2
A,2,1,0.0,0.1,0.1,0.05,6,0,0,0,-0.0714,0.0,0.0,0.0,-0.2246,nan,0.3594,0.2
A,2,1,0.0,0.1,0.1,0.05,7,0,1,1,0.6149,1.0,1.0,1.0,0.9924,37.95,0.068,0.2
A,2,1,0.0,0.1,0.1,0.05,8,0,0,0,0.0326,0.0,0.0,0.0,-0.4049,nan,0.3447,0.2
A,2,1,0.0,0.1,0.1,0.05,9,0,1,1,0.6111,1.0,1.0,1.0,0.9918,37.67,0.0755,0.2
A,2,1,0.0,0.1,0.1,0.05,10,0,1,1,0.6126,1.0,1.0,1.0,0.9921,37.78,0.0742,0.2
A,2,1,0.0,0.1,0.1,0.05,11,0,1,1,0.6171,1.0,1.0,1.0,0.9928,38.1,0.0729,0.2
A,2,1,0.0,0.1,0.1,0.05,12,0,1,1,0.6162,1.0,1.0,1.0,0.9926,38.04,0.0704,0.2
A,2,1,0.0,0.1,0.1,0.05,13,0,0,0,0.3589,0.0,0.0,0.0,-0.0476,nan,0.3721,0.2
A,2,1,0.0,0.1,0.1,0.05,14,0,1,1,0.6144,1.0,1.0,1.0,0.9923,37.91,0.0675,0.2
A,2,1,0.0,0.1,0.1,0.05,15,0,0,0,0.0026,0.0,0.0,0.0,0.4489,nan,0.3525,0.2
A,2,1,0.0,0.1,0.1,0.05,16,0,0,0,0.4046,0.0,0.0,0.0,0.1557,nan,0.3511,0.2
A,2,1,0.0,0.1,0.1,0.05,17,0,1,1,0.6152,1.0,1.0,1.0,0.9925,37.97,0.0737,0.2
A,2,1,0.0,0.1,0.1,0.05,18,0,1,1,0.617,1.0,1.0,1.0,0.9927,38.09,0.0749,0.2
A,2,1,0.0,0.1,0.1,0.05,19,0,1,1,0.6154,1.0,1.0,1.0,0.9925,37.98,0.0694,0.2
A,2,1,0.0,0.1,0.1,0.05,20,1,0,1,1.0,1.0,0.0,1.0,0.9728,90.0,0.0374,0.2
A,2,1,0.0,0.1,0.1,0.05,21,0,0,0,-0.1672,0.0,0.0,0.0,-0.3958,nan,0.3359,0.2
A,2,1,0.0,0.1,0.1,0.05,22,0,1,1,0.6177,1.0,1.0,1.0,0.9929,38.15,0.0724,0.2
A,2,1,0.0,0.1,0.1,0.05,23,0,1,1,0.6169,1.0,1.0,1.0,0.9927,38.09,0.0753,0.2
A,2,1,0.0,0.1,0.1,0.1,0,0,1,1,0.7064,1.0,1.0,1.0,1.0,44.95,0.1042,0.2
A,2,1,0.0,0.1,0.1,0.1,1,0,1,1,0.7051,1.0,1.0,1.0,1.0,44.84,0.1075,0.2
A,2,1,0.0,0.1,0.1,0.1,2,0,1,1,0.7053,1.0,1.0,1.0,1.0,44.85,0.0942,0.2
A,2,1,0.0,0.1,0.1,0.1,3,0,0,0,0.2102,0.0,0.0,0.0,0.1405,nan,0.417,0.2
A,2,1,0.0,0.1,0.1,0.1,4,0,1,1,0.7072,1.0,1.0,1.0,1.0,45.01,0.0984,0.2
A,2,1,0.0,0.1,0.1,0.1,5,0,0,0,-0.3698,0.0,0.0,0.0,-0.0928,nan,0.376,0.2
A,2,1,0.0,0.1,0.1,0.1,6,0,1,1,0.7068,1.0,1.0,1.0,1.0,44.97,0.1033,0.2
A,2,1,0.0,0.1,0.1,0.1,7,0,1,1,0.7084,1.0,1.0,1.0,1.0,45.1,0.095,0.2
A,2,1,0.0,0.1,0.1,0.1,8,0,1,1,0.7085,1.0,1.0,1.0,1.0,45.11,0.0957,0.2
A,2,1,0.0,0.1,0.1,0.1,9,0,1,1,0.7039,1.0,1.0,1.0,1.0,44.74,0.1054,0.2
A,2,1,0.0,0.1,0.1,0.1,10,0,1,1,0.707,1.0,1.0,1.0,1.0,44.99,0.0986,0.2
A,2,1,0.0,0.1,0.1,0.1,11,0,0,0,0.1125,0.0,0.0,0.0,0.0952,nan,0.3877,0.2
A,2,1,0.0,0.1,0.1,0.1,12,0,1,1,0.7063,1.0,1.0,1.0,1.0,44.93,0.1074,0.2
A,2,1,0.0,0.1,0.1,0.1,13,0,1,1,0.7564,0.0,0.0,1.0,1.0,98.91,0.094,0.2
A,2,1,0.0,0.1,0.1,0.1,14,0,0,0,0.0308,0.0,0.0,0.0,0.0924,nan,0.3994,0.2
A,2,1,0.0,0.1,0.1,0.1,15,0,1,1,0.7063,1.0,1.0,1.0,1.0,44.93,0.0981,0.2
A,2,1,0.0,0.1,0.1,0.1,16,0,1,1,0.7056,1.0,1.0,1.0,1.0,44.88,0.0942,0.2
A,2,1,0.0,0.1,0.1,0.1,17,0,1,1,0.7042,1.0,1.0,1.0,1.0,44.77,0.0984,0.2
A,2,1,0.0,0.1,0.1,0.1,18,0,0,0,0.2831,0.0,0.0,0.0,0.6729,22.95,0.4072,0.2
A,2,1,0.0,0.1,0.1,0.1,19,0,0,0,0.2601,0.0,0.0,0.0,0.2543,nan,0.4097,0.2
A,2,1,0.0,0.1,0.1,0.1,20,0,0,0,0.0478,0.0,0.0,0.0,-0.0695,nan,0.4072,0.2
A,2,1,0.0,0.1,0.1,0.1,21,0,1,1,0.7084,1.0,1.0,1.0,1.0,45.11,0.0974,0.2
