mode,eps,seed,rec,max_parent,max_child1,max_child2,max_comp1,max_comp2,max_comp3,max_cc,top
vanilla,0.0,0,0.2504,0.979,0.709,0.719,0.974,0.99,0.812,0.513,"[{""rho"": 0.991, ""p"": 0.68, ""c1"": 0.01, ""c2"": 0.72}, {""rho"": 0.98, ""p"": 0.98, ""c1"": -0.03, ""c2"": -0.0}, {""rho"": 0.975, ""p"": 0.67, ""c1"": 0.71, ""c2"": 0.01}]"
vanilla,0.0,1,0.2299,0.72,0.681,0.666,0.984,0.981,0.777,0.449,"[{""rho"": 0.985, ""p"": 0.71, ""c1"": 0.68, ""c2"": -0.05}, {""rho"": 0.983, ""p"": 0.72, ""c1"": -0.06, ""c2"": 0.67}]"
vanilla,0.0,2,0.152,0.754,0.661,0.64,0.985,0.986,0.781,0.438,"[{""rho"": 0.992, ""p"": 0.75, ""c1"": -0.07, ""c2"": 0.64}, {""rho"": 0.987, ""p"": 0.73, ""c1"": 0.66, ""c2"": -0.04}]"
vanilla,0.0,3,0.2432,0.97,0.717,0.717,0.987,0.991,0.805,0.505,"[{""rho"": 0.992, ""p"": 0.69, ""c1"": -0.01, ""c2"": 0.72}, {""rho"": 0.987, ""p"": 0.68, ""c1"": 0.72, ""c2"": -0.0}, {""rho"": 0.97, ""p"": 0.97, ""c1"": 0.0, ""c2"": -0.0}]"
vanilla,0.0,4,0.2466,0.982,0.717,0.724,0.985,0.991,0.803,0.505,"[{""rho"": 0.992, ""p"": 0.68, ""c1"": -0.01, ""c2"": 0.72}, {""rho"": 0.985, ""p"": 0.68, ""c1"": 0.72, ""c2"": -0.0}, {""rho"": 0.982, ""p"": 0.98, ""c1"": -0.02, ""c2"": -0.01}]"
vanilla,0.0,5,0.1786,0.974,0.704,0.718,0.991,0.98,0.805,0.514,"[{""rho"": 0.991, ""p"": 0.7, ""c1"": 0.7, ""c2"": -0.02}, {""rho"": 0.981, ""p"": 0.67, ""c1"": 0.01, ""c2"": 0.72}, {""rho"": 0.975, ""p"": 0.97, ""c1"": -0.02, ""c2"": -0.04}]"
vanilla,0.01,0,0.2558,0.982,0.715,0.726,0.974,0.989,0.809,0.515,"[{""rho"": 0.99, ""p"": 0.67, ""c1"": 0.0, ""c2"": 0.73}, {""rho"": 0.982, ""p"": 0.98, ""c1"": -0.03, ""c2"": -0.0}, {""rho"": 0.975, ""p"": 0.66, ""c1"": 0.72, ""c2"": 0.01}]"
vanilla,0.01,1,0.1881,0.965,0.728,0.716,0.986,0.985,0.794,0.501,"[{""rho"": 0.987, ""p"": 0.67, ""c1"": 0.73, ""c2"": -0.02}, {""rho"": 0.986, ""p"": 0.68, ""c1"": -0.02, ""c2"": 0.72}, {""rho"": 0.967, ""p"": 0.96, ""c1"": -0.07, ""c2"": -0.03}]"
vanilla,0.01,2,0.1865,0.984,0.721,0.701,0.99,0.991,0.804,0.505,"[{""rho"": 0.992, ""p"": 0.7, ""c1"": -0.03, ""c2"": 0.7}, {""rho"": 0.991, ""p"": 0.68, ""c1"": 0.72, ""c2"": -0.01}, {""rho"": 0.985, ""p"": 0.98, ""c1"": -0.04, ""c2"": -0.03}]"
vanilla,0.01,3,0.2555,0.97,0.724,0.723,0.986,0.991,0.804,0.51,"[{""rho"": 0.992, ""p"": 0.68, ""c1"": -0.01, ""c2"": 0.72}, {""rho"": 0.987, ""p"": 0.67, ""c1"": 0.72, ""c2"": -0.0}, {""rho"": 0.97, ""p"": 0.97, ""c1"": 0.0, ""c2"": 0.0}]"
vanilla,0.01,4,0.1883,0.982,0.732,0.729,0.983,0.992,0.803,0.514,"[{""rho"": 0.993, ""p"": 0.67, ""c1"": -0.01, ""c2"": 0.73}, {""rho"": 0.984, ""p"": 0.66, ""c1"": 0.73, ""c2"": -0.01}, {""rho"": 0.983, ""p"": 0.98, ""c1"": -0.03, ""c2"": -0.02}]"
vanilla,0.01,5,0.1952,0.974,0.713,0.735,0.99,0.978,0.802,0.524,"[{""rho"": 0.99, ""p"": 0.69, ""c1"": 0.71, ""c2"": -0.01}, {""rho"": 0.98, ""p"": 0.65, ""c1"": 0.01, ""c2"": 0.74}, {""rho"": 0.975, ""p"": 0.97, ""c1"": -0.03, ""c2"": -0.04}]"
matryoshka,0.0,0,2.1094,0.819,0.821,0.464,0.867,0.907,0.768,0.373,"[{""rho"": 0.962, ""p"": 0.41, ""c1"": 0.82, ""c2"": -0.29}, {""rho"": 0.942, ""p"": 0.82, ""c1"": 0.05, ""c2"": 0.46}, {""rho"": 0.413, ""p"": 0.41, ""c1"": -0.04, ""c2"": 0.06}, {""rho"": 0.367, ""p"": 0.3, ""c1"": -0.18, ""c2"": 0.1}]"
matryoshka,0.0,1,2.1074,0.787,0.886,0.838,0.859,0.777,0.707,0.457,"[{""rho"": 0.978, ""p"": 0.33, ""c1"": 0.89, ""c2"": -0.25}, {""rho"": 0.889, ""p"": 0.23, ""c1"": -0.19, ""c2"": 0.84}, {""rho"": 0.856, ""p"": 0.79, ""c1"": 0.13, ""c2"": 0.31}]"
matryoshka,0.0,2,2.0173,0.782,0.793,0.503,0.917,0.908,0.765,0.384,"[{""rho"": 0.981, ""p"": 0.5, ""c1"": 0.79, ""c2"": -0.28}, {""rho"": 0.93, ""p"": 0.78, ""c1"": 0.04, ""c2"": 0.5}, {""rho"": 0.351, ""p"": 0.1, ""c1"": 0.22, ""c2"": 0.25}, {""rho"": 0.31, ""p"": 0.1, ""c1"": -0.28, ""c2"": 0.08}]"
matryoshka,0.0,3,2.1686,0.835,0.91,0.905,0.832,0.776,0.721,0.49,"[{""rho"": 0.976, ""p"": 0.27, ""c1"": 0.91, ""c2"": -0.23}, {""rho"": 0.932, ""p"": 0.07, ""c1"": -0.21, ""c2"": 0.9}, {""rho"": 0.889, ""p"": 0.84, ""c1"": 0.15, ""c2"": 0.26}, {""rho"": 0.384, ""p"": 0.19, ""c1"": 0.3, ""c2"": -0.15}, {""rho"": 0.368, ""p"": -0.37, ""c1"": -0.03, ""c2"": -0.03}, {""rho"": 0.344, ""p"": -0.34, ""c1"": 0.04, ""c2"": 0.06}]"
matryoshka,0.0,4,2.1179,0.85,0.882,0.857,0.751,0.866,0.811,0.398,"[{""rho"": 0.974, ""p"": 0.18, ""c1"": 0.88, ""c2"": -0.37}, {""rho"": 0.946, ""p"": 0.85, ""c1"": 0.18, ""c2"": 0.38}, {""rho"": 0.91, ""p"": -0.05, ""c1"": -0.3, ""c2"": 0.86}, {""rho"": 0.41, ""p"": -0.1, ""c1"": 0.27, ""c2"": 0.29}, {""rho"": 0.339, ""p"": 0.2, ""c1"": 0.28, ""c2"": 0.03}]"
