weighted,eps,seed,phi_func,rho_func,act_child,inv
1,0.0005,0,87.4,0.994,0.891,"[[0.994, 87.4], [0.965, 3.3]]"
1,0.0005,1,88.7,0.988,0.886,"[[0.988, 88.7], [0.968, 6.6]]"
1,0.0005,2,88.2,0.99,0.89,"[[0.99, 88.2], [0.973, 1.7]]"
1,0.0005,3,88.8,0.992,0.889,"[[0.992, 88.8], [0.974, 3.9]]"
1,0.0005,4,87.0,0.996,0.894,"[[0.996, 87.0], [0.978, 1.0]]"
1,0.0005,5,88.0,0.993,0.89,"[[0.993, 88.0], [0.978, 5.7]]"
1,0.0005,6,87.9,0.989,0.884,"[[0.989, 87.9], [0.961, 3.8]]"
1,0.0005,7,88.7,0.992,0.889,"[[0.992, 88.7], [0.979, 0.3]]"
1,0.001,0,88.0,0.992,0.888,"[[0.992, 88.0], [0.967, 2.9]]"
1,0.001,1,89.6,0.986,0.883,"[[0.986, 89.6], [0.968, 6.6]]"
1,0.001,2,87.5,0.987,0.882,"[[0.987, 87.5], [0.971, 1.8]]"
1,0.001,3,88.1,0.99,0.89,"[[0.99, 88.1], [0.975, 3.1]]"
1,0.001,4,88.6,0.993,0.891,"[[0.993, 88.6], [0.978, 2.0]]"
1,0.001,5,89.2,0.992,0.887,"[[0.992, 89.2], [0.978, 5.9]]"
1,0.001,6,88.0,0.987,0.884,"[[0.987, 88.0], [0.961, 3.7]]"
1,0.001,7,89.3,0.988,0.888,"[[0.988, 89.3], [0.979, 0.4]]"
1,0.002,0,88.1,0.992,0.89,"[[0.992, 88.1], [0.968, 2.7]]"
1,0.002,1,89.7,0.986,0.884,"[[0.986, 89.7], [0.97, 6.6]]"
1,0.002,2,86.9,0.99,0.886,"[[0.99, 86.9], [0.973, 0.8]]"
1,0.002,3,88.3,0.991,0.888,"[[0.991, 88.3], [0.975, 3.4], [0.395, -58.4]]"
1,0.002,4,88.7,0.989,0.887,"[[0.989, 88.7], [0.976, 2.0]]"
1,0.002,5,89.7,0.992,0.89,"[[0.992, 89.7], [0.98, 5.8]]"
1,0.002,6,88.5,0.988,0.886,"[[0.988, 88.5], [0.965, 3.2]]"
1,0.002,7,89.7,0.989,0.891,"[[0.989, 89.7], [0.98, 0.5]]"
1,0.005,0,88.6,0.987,0.885,"[[0.987, 88.6], [0.967, 3.2]]"
1,0.005,1,89.9,0.982,0.879,"[[0.982, 89.9], [0.971, 6.2]]"
1,0.005,2,87.2,0.983,0.881,"[[0.983, 87.2], [0.972, 1.4]]"
