m,cond,eps,seed,cos_child,cos_comp,cos_parent,route
128,vanilla,0.002,0,0.747,0.993,0.985,1.0
128,vanilla,0.002,1,0.747,0.995,0.991,1.0
128,vanilla,0.002,2,0.744,0.995,0.99,1.0
128,vanilla,0.002,3,0.745,0.994,0.99,1.0
128,vanilla,0.05,0,0.955,0.872,0.986,1.0
128,vanilla,0.05,1,0.958,0.869,0.99,1.0
128,vanilla,0.05,2,0.953,0.873,0.991,1.0
128,vanilla,0.05,3,0.958,0.863,0.99,1.0
128,oracle,0.002,0,0.197,0.726,0.983,0.46
128,oracle,0.002,1,0.996,0.734,0.21,1.0
128,oracle,0.002,2,0.997,0.706,0.989,1.0
128,oracle,0.002,3,0.997,0.71,0.989,1.0
128,oracle,0.05,0,0.994,0.704,0.987,1.0
128,oracle,0.05,1,0.995,0.708,0.99,1.0
128,oracle,0.05,2,0.993,0.707,0.991,1.0
128,oracle,0.05,3,0.993,0.701,0.991,1.0
128,bgrel,0.002,0,0.755,0.994,0.986,1.0
128,bgrel,0.002,1,0.753,0.995,0.99,1.0
128,bgrel,0.002,2,0.75,0.996,0.99,1.0
128,bgrel,0.002,3,0.752,0.995,0.99,1.0
128,bgrel,0.05,0,0.952,0.879,0.988,1.0
128,bgrel,0.05,1,0.955,0.878,0.992,1.0
128,bgrel,0.05,2,0.95,0.883,0.993,1.0
128,bgrel,0.05,3,0.955,0.873,0.993,1.0
