m,cond,eps,seed,cos_child,cos_comp,cos_parent,route
128,vanilla,0.002,0,0.747,0.993,0.985,1.0
128,vanilla,0.002,1,0.747,0.995,0.991,1.0
128,vanilla,0.002,2,0.744,0.995,0.99,1.0
128,vanilla,0.002,3,0.745,0.994,0.99,1.0
128,vanilla,0.05,0,0.955,0.872,0.986,1.0
128,vanilla,0.05,1,0.958,0.869,0.99,1.0
128,vanilla,0.05,2,0.953,0.873,0.991,1.0
128,vanilla,0.05,3,0.958,0.863,0.99,1.0
128,oracle,0.002,0,0.197,0.726,0.983,0.46
128,oracle,0.002,1,0.996,0.734,0.21,1.0
128,oracle,0.002,2,0.997,0.706,0.989,1.0
128,oracle,0.002,3,0.997,0.71,0.989,1.0
128,oracle,0.05,0,0.994,0.704,0.987,1.0
128,oracle,0.05,1,0.995,0.708,0.99,1.0
128,oracle,0.05,2,0.993,0.707,0.991,1.0
128,oracle,0.05,3,0.993,0.701,0.991,1.0
128,residual,0.002,0,0.753,0.994,0.986,1.0
128,residual,0.002,1,0.75,0.994,0.99,1.0
128,residual,0.002,2,0.748,0.996,0.991,1.0
128,residual,0.002,3,0.751,0.995,0.99,1.0
128,residual,0.05,0,0.956,0.871,0.988,1.0
128,residual,0.05,1,0.959,0.869,0.992,1.0
128,residual,0.05,2,0.955,0.874,0.992,1.0
128,residual,0.05,3,0.959,0.864,0.992,1.0
256,vanilla,0.002,0,0.742,0.994,0.986,1.0
256,vanilla,0.002,1,0.739,0.994,0.991,1.0
256,vanilla,0.002,2,0.738,0.995,0.991,1.0
256,vanilla,0.002,3,0.738,0.994,0.991,1.0
256,vanilla,0.05,0,0.953,0.872,0.984,1.0
256,vanilla,0.05,1,0.956,0.869,0.988,1.0
256,vanilla,0.05,2,0.951,0.875,0.988,1.0
256,vanilla,0.05,3,0.957,0.862,0.989,1.0
256,oracle,0.002,0,0.995,0.704,0.982,1.0
256,oracle,0.002,1,0.997,0.707,0.988,1.0
256,oracle,0.002,2,0.997,0.705,0.987,1.0
256,oracle,0.002,3,0.905,0.737,0.986,0.89
256,oracle,0.05,0,0.992,0.704,0.983,1.0
256,oracle,0.05,1,0.768,0.988,0.763,1.0
256,oracle,0.05,2,0.928,0.918,0.926,1.0
256,oracle,0.05,3,0.992,0.7,0.989,1.0
256,residual,0.002,0,0.745,0.994,0.987,1.0
256,residual,0.002,1,0.743,0.995,0.991,1.0
256,residual,0.002,2,0.742,0.996,0.992,1.0
256,residual,0.002,3,0.743,0.994,0.991,1.0
256,residual,0.05,0,0.954,0.874,0.986,1.0
256,residual,0.05,1,0.957,0.871,0.99,1.0
256,residual,0.05,2,0.953,0.874,0.991,1.0
256,residual,0.05,3,0.959,0.862,0.991,1.0
