cond,eps,seed,max_cos_child,max_cos_parent,max_cos_comp,func_cos_child,func_cos_comp,func_act
vanilla,0.002,0,0.807,0.955,0.977,0.446,-0.226,1.95
vanilla,0.002,1,0.831,0.945,0.961,0.009,-0.016,1.95
vanilla,0.002,2,0.813,0.947,0.968,0.434,-0.244,2.07
vanilla,0.002,3,0.836,0.944,0.959,-0.025,-0.015,1.91
vanilla,0.01,0,0.822,0.943,0.968,0.699,-0.0,2.53
vanilla,0.01,1,0.83,0.943,0.966,0.695,-0.007,2.56
vanilla,0.01,2,0.831,0.921,0.959,0.667,-0.04,2.54
vanilla,0.01,3,0.832,0.929,0.954,0.71,0.015,2.38
vanilla,0.05,0,0.897,0.867,0.925,0.897,0.328,3.1
vanilla,0.05,1,0.903,0.862,0.96,0.903,0.342,3.21
vanilla,0.05,2,0.892,0.86,0.934,0.892,0.319,3.2
vanilla,0.05,3,0.893,0.935,0.924,0.893,0.322,3.12
oracle,0.002,0,0.719,0.688,0.962,0.715,0.066,1.56
oracle,0.002,1,0.691,0.724,0.87,0.691,0.05,1.29
oracle,0.002,2,0.704,0.687,0.889,0.704,0.071,1.58
oracle,0.002,3,0.74,0.758,0.888,0.74,0.054,2.9
oracle,0.01,0,0.695,0.7,0.939,0.035,0.041,0.5
oracle,0.01,1,0.763,0.662,0.91,0.007,-0.025,0.47
oracle,0.01,2,0.676,0.691,0.929,0.047,0.081,0.46
oracle,0.01,3,0.74,0.725,0.912,-0.021,-0.011,1.61
oracle,0.05,0,0.713,0.697,0.812,0.035,0.069,1.96
oracle,0.05,1,0.684,0.652,0.91,0.034,0.008,0.78
oracle,0.05,2,0.674,0.679,0.895,-0.053,-0.053,0.44
oracle,0.05,3,0.707,0.728,0.916,-0.017,-0.021,0.67
residual,0.002,0,0.817,0.945,0.974,0.003,0.032,0.9
residual,0.002,1,0.855,0.908,0.942,0.855,0.942,2.0
residual,0.002,2,0.839,0.934,0.96,0.839,0.96,3.1
residual,0.002,3,0.849,0.93,0.952,0.842,0.952,1.62
residual,0.01,0,0.836,0.928,0.96,0.836,0.96,2.81
residual,0.01,1,0.809,0.946,0.965,0.648,-0.07,2.56
residual,0.01,2,0.836,0.933,0.954,0.712,0.018,2.63
residual,0.01,3,0.839,0.944,0.95,0.689,-0.014,2.47
residual,0.05,0,0.893,0.921,0.959,0.893,0.32,3.17
residual,0.05,1,0.895,0.931,0.947,0.895,0.323,3.18
residual,0.05,2,0.874,0.899,0.925,0.874,0.283,3.11
residual,0.05,3,0.888,0.928,0.941,0.888,0.309,3.1
