rho,seed,absorbed,cos_comp,tp_flagged,rarity_ok,cont_indet,cont_ok,amended_ok,c_par_giv_comp,c_comp_giv_par,wall_s,rec
0.1,0,1,0.981,1,1,0,1,1,0.5354,0.7969,132.9,0.6097
0.1,1,0,0.7868,0,,,,,,,132.9,0.6349
0.1,2,1,0.987,1,1,0,1,1,0.5172,0.8173,132.9,0.6095
0.1,3,1,0.9919,1,1,0,1,1,0.6298,0.8187,132.9,0.61
0.1,4,0,0.9792,1,1,0,1,1,0.4792,0.8119,132.9,0.6049
0.1,5,1,0.9876,1,1,0,1,1,0.4204,0.7911,132.9,0.61
0.1,6,1,0.9878,1,1,0,1,1,0.5679,0.8093,132.9,0.6063
0.1,7,1,0.983,1,1,0,1,1,0.5343,0.8126,132.9,0.613
0.1,8,1,0.9937,1,1,0,1,1,0.5985,0.8169,132.9,0.6055
0.1,9,1,0.9848,1,1,0,1,1,0.579,0.8221,132.9,0.6096
0.1,10,1,0.9871,1,1,0,1,1,0.5509,0.7999,132.9,0.6065
0.1,11,1,0.9889,1,1,0,1,1,0.447,0.8056,132.9,0.6024
0.1,12,1,0.9858,1,1,0,1,1,0.5646,0.8059,132.9,0.6072
0.1,13,1,0.9911,1,1,0,1,1,0.4695,0.7992,132.9,0.6038
0.1,14,1,0.9933,1,1,0,1,1,0.4864,0.7946,132.9,0.606
0.1,15,1,0.995,1,1,0,1,1,0.6115,0.8128,132.9,0.6141
0.1,16,1,0.9851,1,1,0,1,1,0.5797,0.8145,132.9,0.6118
0.1,17,1,0.9908,1,1,0,1,1,0.6041,0.8184,132.9,0.6048
0.1,18,1,0.994,1,1,0,1,1,0.5203,0.8057,132.9,0.603
0.1,19,1,0.9826,1,1,0,1,1,0.5818,0.8171,132.9,0.6061
0.1,20,1,0.985,1,1,0,1,1,0.5595,0.8183,132.9,0.6087
0.1,21,1,0.9888,1,1,0,1,1,0.7051,0.8194,132.9,0.6049
0.1,22,0,0.9774,1,1,0,1,1,0.5304,0.8099,132.9,0.61
0.1,23,1,0.9952,1,1,0,1,1,0.5446,0.8032,132.9,0.6028
0.5,0,1,0.981,1,0,1,nan,0,0.6137,0.5986,132.9,0.6152
0.5,1,1,0.9924,1,0,0,0,0,0.6182,0.5735,132.9,0.6123
0.5,2,1,0.9876,1,1,0,1,1,0.6239,0.6498,132.9,0.6073
0.5,3,1,0.9939,1,0,0,0,1,0.6617,0.5613,132.9,0.6078
0.5,4,0,0.9783,1,1,1,nan,1,0.6043,0.6152,132.9,0.609
0.5,5,1,0.988,1,1,1,nan,1,0.5617,0.5752,132.9,0.6083
0.5,6,1,0.9904,1,0,0,0,0,0.6219,0.5846,132.9,0.6071
0.5,7,1,0.9831,1,0,1,nan,0,0.6361,0.6254,132.9,0.6128
0.5,8,1,0.9928,1,0,0,0,0,0.6627,0.6195,132.9,0.6066
0.5,9,1,0.9855,1,0,1,nan,0,0.6784,0.6677,132.9,0.611
0.5,10,1,0.9861,1,1,1,nan,1,0.6474,0.6513,132.9,0.6056
0.5,11,1,0.9918,1,1,0,1,1,0.5982,0.6343,132.9,0.6025
0.5,12,1,0.9856,1,1,1,nan,1,0.6533,0.666,132.9,0.6094
0.5,13,1,0.9903,1,1,1,nan,1,0.5902,0.5918,132.9,0.6723
0.5,14,1,0.994,1,0,0,0,1,0.5752,0.5397,132.9,0.6053
0.5,15,1,0.9954,1,0,0,0,1,0.6644,0.5968,132.9,0.6055
0.5,16,1,0.9855,1,0,0,0,0,0.6453,0.6087,132.9,0.6087
0.5,17,1,0.9921,1,0,0,0,0,0.6577,0.6037,132.9,0.6065
0.5,18,1,0.9942,1,0,0,0,0,0.6078,0.5718,132.9,0.6089
0.5,19,1,0.9843,1,0,1,nan,0,0.6492,0.6401,132.9,0.6094
0.5,20,1,0.9876,1,0,0,0,0,0.6313,0.6079,132.9,0.6105
0.5,21,1,0.9918,1,0,0,0,1,0.7044,0.5725,132.9,0.6093
0.5,22,0,0.9793,1,1,0,1,1,0.6433,0.6877,132.9,0.615
0.5,23,1,0.9955,1,0,0,0,0,0.6296,0.5721,132.9,0.6042
0.6,0,1,0.9802,1,0,0,0,0,0.6506,0.5665,132.9,0.6154
0.6,1,1,0.992,1,0,0,0,0,0.6506,0.5296,132.9,0.6088
0.6,2,1,0.9871,1,0,0,0,0,0.6682,0.6129,132.9,0.609
0.6,3,1,0.9938,1,0,0,0,1,0.684,0.5081,132.9,0.6106
0.6,4,0,0.9777,1,0,0,0,0,0.6444,0.5901,132.9,0.6068
0.6,5,1,0.9874,1,0,0,0,0,0.6056,0.5387,132.9,0.6103
0.6,6,1,0.99,1,0,0,0,0,0.652,0.5353,132.9,0.6058
0.6,7,0,0.9745,0,,,,,,,132.9,0.6546
0.6,8,1,0.9926,1,0,0,0,0,0.6918,0.5842,132.9,0.6056
0.6,9,1,0.9849,1,0,0,0,0,0.7096,0.647,132.9,0.6097
0.6,10,1,0.9856,1,0,0,0,0,0.6811,0.6247,132.9,0.6069
0.6,11,1,0.9916,1,0,0,0,0,0.6429,0.6063,132.9,0.6796
0.6,12,1,0.9852,1,0,0,0,0,0.6831,0.6442,132.9,0.6096
0.6,13,1,0.9898,1,0,0,0,0,0.6405,0.5578,132.9,0.6093
0.6,14,1,0.9936,1,0,0,0,0,0.6106,0.4958,132.9,0.6073
0.6,15,1,0.9951,1,0,0,0,0,0.6852,0.5517,132.9,0.6127
0.6,16,1,0.9853,1,0,0,0,0,0.6768,0.5697,132.9,0.6142
0.6,17,1,0.9921,1,0,0,0,0,0.6887,0.5624,132.9,0.6118
0.6,18,1,0.9939,1,0,0,0,0,0.6465,0.5372,132.9,0.6096
0.6,19,1,0.9837,1,0,0,0,0,0.6794,0.6059,132.9,0.6096
0.6,20,1,0.9872,1,0,0,0,0,0.6756,0.5721,132.9,0.6051
0.6,21,1,0.9917,1,0,0,0,1,0.7129,0.5137,132.9,0.6091
0.6,22,0,0.9788,1,0,1,nan,0,0.6851,0.6685,132.9,0.6169
0.6,23,1,0.9955,1,0,0,0,0,0.6591,0.525,132.9,0.6048
0.8,0,0,0.9793,1,0,0,0,0,0.7475,0.5044,132.9,0.6228
0.8,1,1,0.991,1,0,0,0,0,0.7386,0.4602,132.9,0.6133
0.8,2,1,0.9858,1,0,0,0,0,0.7626,0.5823,132.9,0.6058
0.8,3,1,0.9939,1,0,0,0,1,0.7429,0.349,132.9,0.6106
0.8,4,0,0.9769,1,0,0,0,0,0.754,0.5329,132.9,0.6084
0.8,5,1,0.9859,1,0,0,0,0,0.7258,0.4804,132.9,0.6068
0.8,6,1,0.9895,1,0,0,0,0,0.7435,0.4697,132.9,0.6012
0.8,7,1,0.9819,1,0,0,0,0,0.7715,0.5539,132.9,0.6113
0.8,8,1,0.9921,1,0,0,0,0,0.7617,0.5254,132.9,0.603
