exp,d,m,rho,sigma,ccos,topk,seed,absorbed,cos_comp,n_flagged,tp_flagged,fp_count,tp_cos,tp_lift,wall_s,mem_mb,rec,orient_ok,child_res_cos
E2null,64,32,0.0,0.1,0.0,0,0,0,0.145,0,0,0,0.0,0.0,32.6,108.0,0.605,,
E2null,64,32,0.0,0.1,0.0,0,1,0,0.1772,0,0,0,0.0,0.0,32.6,108.0,0.5968,,
E2null,64,32,0.0,0.1,0.0,0,2,0,0.1271,0,0,0,0.0,0.0,32.6,108.0,0.604,,
E2null,64,32,0.0,0.1,0.0,0,3,0,0.1993,0,0,0,0.0,0.0,32.6,108.0,0.5993,,
E2null,64,32,0.0,0.1,0.0,0,4,0,0.1104,0,0,0,0.0,0.0,32.6,108.0,0.5934,,
E2null,64,32,0.0,0.1,0.0,0,5,0,0.1519,0,0,0,0.0,0.0,32.6,108.0,0.6015,,
E2null,64,32,0.0,0.1,0.0,0,6,0,0.1973,0,0,0,0.0,0.0,32.6,108.0,0.5961,,
E2null,64,32,0.0,0.1,0.0,0,7,0,0.0971,0,0,0,0.0,0.0,32.6,108.0,0.6074,,
E2null,64,32,0.0,0.1,0.0,0,8,0,0.0516,0,0,0,0.0,0.0,32.6,108.0,0.594,,
E2null,64,32,0.0,0.1,0.0,0,9,0,0.0361,0,0,0,0.0,0.0,32.6,108.0,0.6013,,
E2null,64,32,0.0,0.1,0.0,0,10,0,0.0394,0,0,0,0.0,0.0,32.6,108.0,0.6009,,
E2null,64,32,0.0,0.1,0.0,0,11,0,0.4507,0,0,0,0.0,0.0,32.6,108.0,0.5942,,
E2null,64,32,0.0,0.1,0.0,0,12,0,0.0933,0,0,0,0.0,0.0,32.6,108.0,0.6,,
E2null,64,32,0.0,0.1,0.0,0,13,0,0.2801,0,0,0,0.0,0.0,32.6,108.0,0.6037,,
E2null,64,32,0.0,0.1,0.0,0,14,0,0.2882,0,0,0,0.0,0.0,32.6,108.0,0.5994,,
E2null,64,32,0.0,0.1,0.0,0,15,0,0.0701,0,0,0,0.0,0.0,32.6,108.0,0.6017,,
E2abs,64,32,0.1,0.1,0.0,0,0,1,0.9812,1,1,0,0.5941,3.0392,32.6,108.0,0.6096,1,0.9653
E2abs,64,32,0.1,0.1,0.0,0,1,1,0.991,1,1,0,0.6233,3.1217,32.6,108.0,0.6084,1,0.9538
E2abs,64,32,0.1,0.1,0.0,0,2,1,0.9872,1,1,0,0.5669,3.0543,32.6,108.0,0.6102,1,0.9803
E2abs,64,32,0.1,0.1,0.0,0,3,1,0.9923,1,1,0,0.6063,3.1705,32.6,108.0,0.6079,1,0.9614
E2abs,64,32,0.1,0.1,0.0,0,4,0,0.9793,1,1,0,0.6038,3.0784,32.6,108.0,0.6111,1,0.9607
E2abs,64,32,0.1,0.1,0.0,0,5,1,0.9874,1,1,0,0.6362,2.9983,32.6,108.0,0.606,1,0.9678
E2abs,64,32,0.1,0.1,0.0,0,6,0,0.7768,0,0,0,1.0,3.4688,32.6,108.0,0.6308,,
E2abs,64,32,0.1,0.1,0.0,0,7,1,0.9826,1,1,0,0.5868,3.1057,32.6,108.0,0.6101,1,0.9611
E2null,128,64,0.0,0.1,0.0,0,0,0,0.0398,0,0,0,0.0,0.0,44.7,204.0,1.1893,,
E2null,128,64,0.0,0.1,0.0,0,1,0,0.0341,0,0,0,0.0,0.0,44.7,204.0,1.1833,,
E2null,128,64,0.0,0.1,0.0,0,2,0,0.1245,0,0,0,0.0,0.0,44.7,204.0,1.1942,,
E2null,128,64,0.0,0.1,0.0,0,3,0,0.0342,0,0,0,0.0,0.0,44.7,204.0,1.1831,,
E2null,128,64,0.0,0.1,0.0,0,4,0,0.1032,0,0,0,0.0,0.0,44.7,204.0,1.1875,,
E2null,128,64,0.0,0.1,0.0,0,5,0,0.1477,0,0,0,0.0,0.0,44.7,204.0,1.1967,,
E2null,128,64,0.0,0.1,0.0,0,6,0,0.2418,0,0,0,0.0,0.0,44.7,204.0,1.19,,
E2null,128,64,0.0,0.1,0.0,0,7,0,0.0595,0,0,0,0.0,0.0,44.7,204.0,1.1888,,
E2null,128,64,0.0,0.1,0.0,0,8,0,0.0515,0,0,0,0.0,0.0,44.7,204.0,1.1973,,
E2null,128,64,0.0,0.1,0.0,0,9,0,0.2303,0,0,0,0.0,0.0,44.7,204.0,1.1968,,
E2null,128,64,0.0,0.1,0.0,0,10,0,0.0242,0,0,0,0.0,0.0,44.7,204.0,1.1868,,
E2null,128,64,0.0,0.1,0.0,0,11,0,0.1306,0,0,0,0.0,0.0,44.7,204.0,1.1886,,
E2null,128,64,0.0,0.1,0.0,0,12,0,0.0951,0,0,0,0.0,0.0,44.7,204.0,1.1894,,
E2null,128,64,0.0,0.1,0.0,0,13,0,0.1429,0,0,0,0.0,0.0,44.7,204.0,1.1893,,
E2null,128,64,0.0,0.1,0.0,0,14,0,0.0733,0,0,0,0.0,0.0,44.7,204.0,1.1902,,
E2null,128,64,0.0,0.1,0.0,0,15,0,0.265,0,0,0,0.0,0.0,44.7,204.0,1.1922,,
E2abs,128,64,0.1,0.1,0.0,0,0,1,0.9936,1,1,0,0.5848,3.079,44.7,204.0,1.2008,1,0.9847
E2abs,128,64,0.1,0.1,0.0,0,1,1,0.9949,1,1,0,0.6195,3.1228,44.7,204.0,1.1993,1,0.9836
E2abs,128,64,0.1,0.1,0.0,0,2,1,0.9928,1,1,0,0.6037,3.1108,44.7,204.0,1.1973,1,0.9717
E2abs,128,64,0.1,0.1,0.0,0,3,1,0.9931,1,1,0,0.5967,3.1455,44.7,204.0,1.1969,1,0.974
E2abs,128,64,0.1,0.1,0.0,0,4,1,0.9941,1,1,0,0.627,3.0874,44.7,204.0,1.1979,1,0.9802
E2abs,128,64,0.1,0.1,0.0,0,5,1,0.9951,1,1,0,0.6048,3.0998,44.7,204.0,1.2045,1,0.9845
E2abs,128,64,0.1,0.1,0.0,0,6,1,0.9937,1,1,0,0.6002,3.0242,44.7,204.0,1.2032,1,0.9815
E2abs,128,64,0.1,0.1,0.0,0,7,1,0.9931,1,1,0,0.6013,3.0737,44.7,204.0,1.2007,1,0.9822
E2null,256,128,0.0,0.1,0.0,0,0,0,0.0937,0,0,0,0.0,0.0,140.0,407.0,2.3402,,
E2null,256,128,0.0,0.1,0.0,0,1,0,0.1055,0,0,0,0.0,0.0,140.0,407.0,2.3517,,
