m,seed,absorbed,cos_comp,dnorm_par,dnorm_comp,n11,n10,n01,rho_count,rho_c,rho_x,rho_d,ties,lo_is_comp,m_n11,m_n10,m_n01,m_rho_count,m_rho_c,m_rho_x,m_rho_d,m_ties,m_lo_is_comp,rho_d_t002,rho_d_t010,a1,a0,g0,g1,b_p,b_c,n_j11,n_s11,delta_J,delta_S,q11_B,q10_B,q01_B,pi_B,h_B,b11_frac,rho_real
128,8,1,0.9946,1.0,1.0,48785,23411,21270,0.74952,0.74952,0.47604,0.47934,0,1,48593,14633,16755,0.79051,0.81704,0.5338,0.50251,0,0,0.47797,0.48124,1.0,0.63361,0.99792,0.58365,0.07474,0.03922,23371,25222,0.00013,0.0027,0.0016,0.07314,0.03762,0.5,0.34194,0.00205,0.50066
128,9,1,0.9954,1.0,1.0,47275,20914,21674,0.75881,0.76727,0.50892,0.4905,0,0,47177,14735,17670,0.77796,0.81485,0.54529,0.50289,0,0,0.48951,0.4918,1.0,0.62892,0.99778,0.55906,0.05213,0.03406,22292,24885,0.0,0.00237,0.00081,0.05131,0.03325,0.54082,0.39461,0.00109,0.50104
128,10,1,0.995,1.0,1.0,49035,22716,20237,0.75305,0.75305,0.47114,0.48588,0,1,48917,15573,15834,0.80287,0.80612,0.50416,0.50097,0,0,0.48521,0.48785,0.99814,0.61343,1.0,0.60644,0.06067,0.03778,24324,24593,4e-05,0.00337,0.00099,0.05969,0.03679,0.44068,0.38194,0.00128,0.50088
128,11,1,0.9942,1.0,1.0,48995,22634,22454,0.75943,0.75943,0.498,0.49605,0,1,48735,15208,15920,0.80066,0.80957,0.51144,0.50108,0,0,0.49594,0.49665,1.0,0.61918,1.0,0.60128,0.06398,0.05655,24008,24727,8e-05,0.00372,0.00216,0.06181,0.05439,0.45385,0.46779,0.00276,0.49996
128,12,1,0.9953,1.0,1.0,48799,21397,19869,0.76243,0.76243,0.48149,0.4866,0,1,48739,15442,16171,0.79875,0.80782,0.51153,0.49903,0,0,0.48545,0.48838,1.0,0.61695,1.0,0.59612,0.05027,0.03141,23868,24871,4e-05,0.00241,0.0005,0.04977,0.03091,0.5,0.38382,0.00067,0.4983
128,13,1,0.9953,1.0,1.0,46855,23426,21490,0.74473,0.74473,0.47845,0.47817,0,1,46730,15455,17812,0.77734,0.80681,0.53543,0.50172,0,0,0.4766,0.48011,1.0,0.61246,0.99775,0.55609,0.06749,0.0317,22264,24466,0.0,0.00245,0.00104,0.06645,0.03066,0.544,0.31816,0.00136,0.50016
128,14,1,0.9937,1.0,1.0,49527,22551,20665,0.75684,0.75684,0.47818,0.48379,0,1,49426,14861,15946,0.80125,0.81478,0.51761,0.49977,0,0,0.48289,0.48535,1.0,0.63146,0.99779,0.60267,0.06505,0.04024,24052,25374,0.0,0.00394,0.00084,0.06421,0.0394,0.50495,0.38129,0.00109,0.49741
128,15,1,0.9944,1.0,1.0,48890,21260,22336,0.75849,0.77013,0.51234,0.49751,0,0,48689,14968,16469,0.79446,0.81319,0.52387,0.49975,0,0,0.49726,0.49802,1.0,0.62723,1.0,0.588,0.05417,0.05062,23504,25185,4e-05,0.00282,0.00168,0.05249,0.04894,0.51244,0.48301,0.00217,0.49888
128,16,1,0.9939,1.0,1.0,48794,23074,19420,0.74724,0.74724,0.45701,0.47689,0,1,48690,15209,15725,0.80251,0.80899,0.50834,0.49976,0,0,0.47557,0.47938,1.0,0.6189,0.99805,0.60491,0.06622,0.03157,23998,24692,0.0,0.00283,0.00086,0.06535,0.0307,0.44231,0.32073,0.00114,0.49807
128,17,1,0.9956,1.0,1.0,47031,23308,21092,0.74508,0.74508,0.47505,0.48265,0,1,46937,15810,17156,0.78529,0.80214,0.52041,0.5025,0,0,0.48143,0.48462,1.0,0.60278,1.0,0.57218,0.06322,0.03356,22945,23992,4e-05,0.00213,0.00078,0.06243,0.03277,0.44681,0.34507,0.00103,0.50187
128,18,1,0.9935,1.0,1.0,49312,21084,21330,0.76746,0.77014,0.5029,0.48715,0,0,49177,13994,16737,0.79055,0.82487,0.54463,0.50094,0,0,0.48619,0.48854,1.0,0.64997,1.0,0.58083,0.06016,0.03937,23192,25985,4e-05,0.00389,0.00112,0.05904,0.03825,0.45926,0.39389,0.00147,0.49969
128,19,1,0.9955,1.0,1.0,48087,22458,22168,0.75777,0.75777,0.49675,0.48702,0,1,47934,14947,17212,0.7851,0.81338,0.53522,0.50088,0,0,0.48579,0.48853,1.0,0.6274,0.99818,0.57129,0.06392,0.04261,22839,25095,4e-05,0.00267,0.00128,0.06264,0.04133,0.52288,0.39905,0.00165,0.49914
128,20,1,0.9944,1.0,1.0,48069,23596,20139,0.74297,0.74297,0.46048,0.48394,0,1,47985,15913,16053,0.79921,0.80097,0.50219,0.5042,0,0,0.48294,0.48589,0.99779,0.59855,0.99832,0.59951,0.06478,0.03478,24162,23823,0.0,0.00403,0.0007,0.06408,0.03408,0.36905,0.34734,0.00091,0.50312
128,21,1,0.994,1.0,1.0,49619,21952,19639,0.75932,0.75932,0.47219,0.4862,0,1,49488,15009,15246,0.80881,0.81178,0.50392,0.50022,0,0,0.48513,0.48772,1.0,0.62426,1.0,0.61692,0.05882,0.03762,24552,24936,4e-05,0.00369,0.00109,0.05773,0.03653,0.48855,0.38868,0.00144,0.49908
128,22,1,0.9947,1.0,1.0,47673,22663,20090,0.74938,0.74938,0.46991,0.4862,0,1,47541,16477,16029,0.79416,0.79416,0.49311,0.49763,0,1,0.48542,0.48796,1.0,0.59164,0.99802,0.59824,0.05267,0.03496,23749,23792,0.0,0.00235,0.0011,0.05157,0.03385,0.5303,0.39802,0.00146,0.49593
128,23,1,0.9934,1.0,1.0,50926,20496,20150,0.77618,0.77618,0.49574,0.49387,0,1,50841,14168,15070,0.81181,0.82307,0.51543,0.50088,0,0,0.49354,0.49499,1.0,0.64645,1.0,0.62331,0.05348,0.04307,24936,25905,8e-05,0.00409,0.00071,0.05277,0.04236,0.41176,0.44505,0.00093,0.49958
128,24,1,0.9953,1.0,1.0,46640,22577,20528,0.74843,0.74843,0.47623,0.48687,0,1,46589,16355,16828,0.78905,0.79498,0.50713,0.50094,0,0,0.48541,0.48861,1.0,0.5905,0.99807,0.57935,0.05218,0.0312,23075,23514,0.0,0.00247,0.00042,0.05175,0.03078,0.64706,0.37431,0.00057,0.49927
128,25,1,0.994,1.0,1.0,49080,22546,19872,0.75359,0.75359,0.46848,0.48094,0,1,48966,15037,15801,0.802,0.81158,0.51239,0.49982,0,0,0.47956,0.48295,0.99819,0.62298,0.99808,0.60183,0.0635,0.03486,23992,24974,4e-05,0.00384,0.00095,0.06255,0.03391,0.40351,0.35206,0.00125,0.49861
128,26,1,0.9948,1.0,1.0,47760,23497,20073,0.74272,0.74272,0.46071,0.48291,0,1,47685,15974,16082,0.79832,0.79968,0.50168,0.50265,0,0,0.48167,0.48494,1.0,0.59903,0.99784,0.59913,0.06318,0.03381,23907,23778,0.0,0.00391,0.00062,0.06256,0.03319,0.41333,0.34705,0.00082,0.50041
128,27,1,0.9956,1.0,1.0,47815,23154,21266,0.74897,0.74897,0.47875,0.48578,0,1,47708,15857,16803,0.79092,0.8027,0.51448,0.50129,0,0,0.48474,0.48788,1.0,0.60572,0.99806,0.58324,0.06189,0.0382,23413,24295,0.0,0.00296,0.00089,0.061,0.03731,0.51402,0.38072,0.00116,0.49946
128,28,1,0.9946,1.0,1.0,47210,22992,21569,0.74946,0.74946,0.48403,0.48746,0,1,47035,15815,16712,0.78995,0.80122,0.51379,0.50038,0,0,0.48654,0.48875,1.0,0.60306,1.0,0.57925,0.06104,0.04178,23008,24027,4e-05,0.00383,0.00145,0.05959,0.04033,0.38286,0.40331,0.00191,0.49923
128,29,1,0.9931,1.0,1.0,49264,20534,21715,0.76271,0.77562,0.51398,0.49904,0,0,49114,14650,16222,0.79719,0.81684,0.52546,0.50148,0,0,0.49865,0.49993,0.99808,0.63427,1.0,0.59492,0.05029,0.04703,23802,25312,0.0,0.00344,0.00125,0.04904,0.04578,0.43333,0.48217,0.00164,0.50121
128,30,1,0.9951,1.0,1.0,48832,23315,19273,0.74497,0.74497,0.45255,0.47875,0,1,48757,15803,15398,0.80236,0.80236,0.49351,0.49847,0,1,0.47751,0.48092,1.0,0.60663,0.99998,0.61299,0.0632,0.03291,24388,24369,4e-05,0.00295,0.00062,0.06258,0.03228,0.46667,0.34113,0.00082,0.49757
128,31,1,0.995,1.0,1.0,49259,22328,21314,0.75966,0.75966,0.48838,0.49329,0,1,49078,15335,15733,0.8037,0.80866,0.50641,0.50112,0,0,0.49253,0.49443,0.99806,0.61833,1.0,0.60766,0.05986,0.04808,24333,24745,8e-05,0.004,0.00151,0.05835,0.04657,0.45856,0.44406,0.00195,0.50078
256,8,1,0.9942,1.0,1.0,44555,21433,21974,0.75019,0.75634,0.50623,0.48687,0,0,44513,16139,19329,0.75833,0.79821,0.54497,0.50222,0,0,0.48544,0.48917,1.0,0.5959,0.99792,0.51937,0.04446,0.02239,20797,23716,0.0,0.00177,0.00035,0.04411,0.02204,0.30952,0.33304,0.00048,0.50066
256,9,1,0.9951,1.0,1.0,42534,20778,22138,0.74092,0.75684,0.51584,0.48873,0,0,42514,16694,20373,0.744,0.79023,0.54963,0.50247,0,0,0.48741,0.49063,1.0,0.57956,0.99778,0.49125,0.03408,0.01482,19588,22926,0.0,0.00113,0.00017,0.03392,0.01466,0.5,0.30244,0.00023,0.50104
256,10,1,0.995,1.0,1.0,44828,21325,20990,0.75529,0.75529,0.49604,0.48965,0,1,44810,16829,18683,0.7674,0.79048,0.5261,0.5024,0,0,0.48825,0.49144,1.0,0.58018,0.99785,0.53772,0.03772,0.01943,21634,23176,0.0,0.0016,0.00015,0.03757,0.01928,0.5,0.33954,0.00021,0.50088
256,11,1,0.994,1.0,1.0,44565,22529,21108,0.74457,0.74457,0.48372,0.48883,0,1,44502,17371,17990,0.77474,0.78249,0.50875,0.50054,0,0,0.48803,0.49027,1.0,0.56502,1.0,0.54944,0.04346,0.02648,21938,22564,5e-05,0.00213,0.00052,0.04293,0.02595,0.36508,0.37666,0.00071,0.49996
256,12,1,0.9953,1.0,1.0,44219,21981,19674,0.74403,0.74403,0.47231,0.48229,0,1,44214,17803,18335,0.77182,0.77844,0.50736,0.49873,0,0,0.48086,0.48445,1.0,0.55838,1.0,0.54207,0.03496,0.01123,21704,22510,5e-05,0.0016,4e-05,0.03492,0.01119,0.6,0.24303,6e-05,0.4983
256,13,1,0.9944,1.0,1.0,42325,22175,22457,0.74175,0.74499,0.50316,0.48266,0,0,42301,17089,20647,0.74203,0.78649,0.54714,0.50161,0,0,0.48113,0.4848,1.0,0.57262,0.99775,0.48628,0.0426,0.01529,19469,22832,0.0,0.00136,0.0002,0.0424,0.01509,0.58333,0.26358,0.00028,0.50016
256,14,1,0.9935,1.0,1.0,45505,21998,19994,0.74859,0.74859,0.47614,0.4826,0,1,45494,16917,17822,0.77787,0.78915,0.51303,0.49915,0,0,0.48114,0.48455,1.0,0.58047,0.99779,0.55566,0.04252,0.01823,22176,23318,0.0,0.00214,9e-05,0.04242,0.01814,0.54545,0.29983,0.00013,0.49741
256,15,1,0.9941,1.0,1.0,44648,21540,21208,0.75354,0.75354,0.49612,0.48787,0,1,44606,16920,18600,0.76787,0.78883,0.52365,0.49933,0,0,0.48699,0.48937,1.0,0.57861,1.0,0.53469,0.03889,0.02211,21373,23233,0.0,0.00155,0.00035,0.03854,0.02176,0.5,0.36162,0.00048,0.49888
