exp,rho,sigma,seed,m,absorbed,cos_comp,rec,wall_s,n11,n10,n01,rho_count,rho_c,rho_x,rho_d,ties,lo_is_comp,m_n11,m_n10,m_n01,m_rho_count,m_rho_c,m_rho_x,m_rho_d,m_ties,m_lo_is_comp,rho_d_t002,rho_d_t010,a1,a0,g0,g1,b_p,b_c,n_j11,n_s11,delta_J,delta_S,q11_B,q10_B,q01_B,pi_B,h_B,b11_frac,rho_real,rho_d_auto,q,p0,cos_child
SC,0.1,0.0,40,32,1,0.9957,0.086,443.8,365,33097,3776,0.1112,0.1112,0.10241,0.10151,0,1,365,33097,3776,0.1112,0.1112,0.10241,0.10151,0,1,0.10151,0.10151,1.0,0.01079,1.0,0.00106,0.0,0.0,4,361,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.10151,0.10151,,,
SC,0.1,0.0,41,32,1,0.9958,0.0967,443.8,722,33290,3629,0.11559,0.11559,0.0983,0.10085,0,1,722,33289,3629,0.1156,0.1156,0.0983,0.10085,0,1,0.10079,0.10085,1.0,0.0164,1.0,0.04399,1e-05,0.0,167,555,0.0,0.0,0.0,1e-05,0.0,nan,0.0,0.0,0.10085,0.10085,,,
SC,0.1,0.0,42,32,1,0.995,0.0861,443.8,2,33679,3769,0.10069,0.10069,0.10065,0.10067,0,1,2,33679,3769,0.10069,0.10069,0.10065,0.10067,0,1,0.10067,0.10067,1.0,3e-05,1.0,0.00027,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.10067,0.10067,,,
SC,0.1,0.0,43,32,1,0.9882,0.0902,443.8,1,33969,3699,0.09822,0.09822,0.0982,0.0982,0,1,1,33969,3699,0.09822,0.09822,0.0982,0.0982,0,1,0.0982,0.0982,1.0,3e-05,1.0,0.0,0.0,0.0,0,1,nan,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0982,0.0982,,,
SC,0.1,0.0,44,32,1,0.9929,0.1016,443.8,251,33318,3769,0.10767,0.10767,0.10163,0.1022,0,1,251,33318,3769,0.10767,0.10767,0.10163,0.1022,0,1,0.1022,0.1022,1.0,0.00609,1.0,0.01232,0.0,0.0,47,204,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.1022,0.1022,,,
SC,0.1,0.0,45,32,1,0.9962,0.0889,443.8,0,33701,3834,0.10214,0.10214,0.10214,0.10214,0,1,0,33701,3834,0.10214,0.10214,0.10214,0.10214,0,1,0.10214,0.10214,1.0,0.0,1.0,0.0,0.0,0.0,0,0,nan,nan,0.0,0.0,0.0,nan,nan,0.0,0.10214,0.10214,,,
SC,0.1,0.0,46,32,1,0.9931,0.0917,443.8,399,33370,3706,0.10954,0.10954,0.09996,0.09897,0,1,399,33370,3706,0.10954,0.10954,0.09996,0.09897,0,1,0.09897,0.09897,1.0,0.01173,1.0,0.00081,0.0,0.0,3,396,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.09897,0.09897,,,
SC,0.1,0.0,47,32,1,0.9947,0.0933,443.8,1113,32447,3736,0.13001,0.13001,0.10325,0.10017,0,1,1113,32447,3736,0.13001,0.13001,0.10325,0.10017,0,1,0.10017,0.10017,1.0,0.03316,1.0,0.0,0.0,0.0,0,1113,nan,0.0,0.0,0.0,0.0,nan,nan,0.0,0.10017,0.10017,,,
SC,0.1,0.0,48,32,0,0.7538,0.1075,443.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,0.1,0.0,49,32,1,0.995,0.0881,443.8,46,33814,3645,0.09841,0.09841,0.09731,0.09724,0,1,46,33814,3645,0.09841,0.09841,0.09731,0.09724,0,1,0.09724,0.09724,1.0,0.0013,1.0,0.00055,0.0,0.0,2,44,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.09724,0.09724,,,
