q,lam,eps,phi_theory,eps_star
0.2,0.05,0.0,45.0,0.011812
0.2,0.05,0.001181,45.1,0.011812
0.2,0.05,0.002362,45.2,0.011812
0.2,0.05,0.003544,45.2,0.011812
0.2,0.05,0.004725,45.3,0.011812
0.2,0.05,0.005,45.4,0.011812
0.2,0.05,0.005906,45.4,0.011812
0.2,0.05,0.007087,56.6,0.011812
0.2,0.05,0.008268,62.1,0.011812
0.2,0.05,0.009449,65.8,0.011812
0.2,0.05,0.01,67.1,0.011812
0.2,0.05,0.010631,68.5,0.011812
0.2,0.05,0.011812,70.5,0.011812
0.2,0.05,0.012993,72.2,0.011812
0.2,0.05,0.014174,73.6,0.011812
0.2,0.05,0.015,74.4,0.011812
0.2,0.05,0.015355,74.8,0.011812
0.2,0.05,0.016536,75.8,0.011812
0.2,0.05,0.017718,76.7,0.011812
0.2,0.05,0.018899,77.4,0.011812
0.2,0.05,0.02,78.1,0.011812
0.2,0.05,0.02008,78.1,0.011812
0.2,0.05,0.021261,78.7,0.011812
0.2,0.05,0.022442,79.2,0.011812
0.2,0.05,0.023623,79.8,0.011812
0.2,0.05,0.024805,80.2,0.011812
0.2,0.05,0.025,80.3,0.011812
0.2,0.05,0.025986,80.6,0.011812
0.2,0.05,0.027167,81.0,0.011812
0.2,0.05,0.028348,81.3,0.011812
0.2,0.05,0.029529,81.7,0.011812
0.2,0.05,0.03,81.8,0.011812
0.2,0.05,0.03071,82.0,0.011812
0.2,0.05,0.031892,82.2,0.011812
0.2,0.05,0.033073,82.5,0.011812
0.2,0.05,0.034254,82.7,0.011812
0.2,0.05,0.035,82.9,0.011812
0.2,0.05,0.035435,83.0,0.011812
0.2,0.05,0.04,83.7,0.011812
0.2,0.05,0.045,84.4,0.011812
0.2,0.05,0.05,84.9,0.011812
0.2,0.05,0.055,85.3,0.011812
0.2,0.05,0.06,85.7,0.011812
0.2,0.05,0.065,86.0,0.011812
0.2,0.05,0.07,86.3,0.011812
0.2,0.05,0.075,86.5,0.011812
0.2,0.05,0.08,86.7,0.011812
0.2,0.05,0.085,86.9,0.011812
0.2,0.05,0.09,87.1,0.011812
0.2,0.05,0.095,87.2,0.011812
0.2,0.05,0.1,87.4,0.011812
0.2,0.05,0.105,87.5,0.011812
0.2,0.05,0.11,87.6,0.011812
0.2,0.05,0.115,87.7,0.011812
0.2,0.05,0.12,87.8,0.011812
0.2,0.05,0.125,87.9,0.011812
0.2,0.05,0.13,88.0,0.011812
0.2,0.05,0.135,88.0,0.011812
0.2,0.05,0.14,88.1,0.011812
0.2,0.05,0.145,88.2,0.011812
0.2,0.05,0.15,88.2,0.011812
0.2,0.05,0.155,88.3,0.011812
0.2,0.05,0.16,88.3,0.011812
0.2,0.05,0.165,88.4,0.011812
0.2,0.05,0.17,88.4,0.011812
0.2,0.05,0.175,88.5,0.011812
0.2,0.05,0.18,88.5,0.011812
0.2,0.05,0.185,88.6,0.011812
0.2,0.05,0.19,88.6,0.011812
0.2,0.05,0.195,88.6,0.011812
0.2,0.05,0.2,88.7,0.011812
0.2,0.1,0.0,45.0,0.023827
0.2,0.1,0.002383,45.2,0.023827
0.2,0.1,0.004765,45.3,0.023827
0.2,0.1,0.005,45.3,0.023827
0.2,0.1,0.007148,45.5,0.023827
0.2,0.1,0.009531,45.7,0.023827
0.2,0.1,0.01,45.7,0.023827
0.2,0.1,0.011914,45.8,0.023827
0.2,0.1,0.014296,56.5,0.023827
0.2,0.1,0.015,58.6,0.023827
0.2,0.1,0.016679,62.3,0.023827
0.2,0.1,0.019062,66.0,0.023827
0.2,0.1,0.02,67.2,0.023827
0.2,0.1,0.021445,68.8,0.023827
0.2,0.1,0.023827,70.9,0.023827
0.2,0.1,0.025,71.8,0.023827
0.2,0.1,0.02621,72.6,0.023827
0.2,0.1,0.028593,74.0,0.023827
0.2,0.1,0.03,74.7,0.023827
0.2,0.1,0.030975,75.1,0.023827
0.2,0.1,0.033358,76.1,0.023827
0.2,0.1,0.035,76.8,0.023827
0.2,0.1,0.035741,77.0,0.023827
0.2,0.1,0.038124,77.8,0.023827
0.2,0.1,0.04,78.3,0.023827
0.2,0.1,0.040506,78.4,0.023827
0.2,0.1,0.042889,79.1,0.023827
0.2,0.1,0.045,79.5,0.023827
0.2,0.1,0.045272,79.6,0.023827
0.2,0.1,0.047654,80.1,0.023827
0.2,0.1,0.05,80.5,0.023827
0.2,0.1,0.050037,80.5,0.023827
0.2,0.1,0.05242,80.9,0.023827
0.2,0.1,0.054803,81.3,0.023827
0.2,0.1,0.055,81.3,0.023827
0.2,0.1,0.057185,81.6,0.023827
0.2,0.1,0.059568,82.0,0.023827
0.2,0.1,0.06,82.0,0.023827
0.2,0.1,0.061951,82.2,0.023827
0.2,0.1,0.064334,82.5,0.023827
0.2,0.1,0.065,82.6,0.023827
0.2,0.1,0.066716,82.8,0.023827
0.2,0.1,0.069099,83.0,0.023827
0.2,0.1,0.07,83.1,0.023827
0.2,0.1,0.071482,83.2,0.023827
0.2,0.1,0.075,83.5,0.023827
0.2,0.1,0.08,83.9,0.023827
0.2,0.1,0.085,84.3,0.023827
0.2,0.1,0.09,84.6,0.023827
0.2,0.1,0.095,84.8,0.023827
0.2,0.1,0.1,85.1,0.023827
0.2,0.1,0.105,85.3,0.023827
0.2,0.1,0.11,85.5,0.023827
0.2,0.1,0.115,85.7,0.023827
0.2,0.1,0.12,85.9,0.023827
0.2,0.1,0.125,86.0,0.023827
0.2,0.1,0.13,86.2,0.023827
0.2,0.1,0.135,86.3,0.023827
0.2,0.1,0.14,86.4,0.023827
0.2,0.1,0.145,86.5,0.023827
0.2,0.1,0.15,86.7,0.023827
0.2,0.1,0.155,86.8,0.023827
0.2,0.1,0.16,86.9,0.023827
0.2,0.1,0.165,87.0,0.023827
0.2,0.1,0.17,87.0,0.023827
0.2,0.1,0.175,87.1,0.023827
0.2,0.1,0.18,87.2,0.023827
0.2,0.1,0.185,87.3,0.023827
0.2,0.1,0.19,87.3,0.023827
0.2,0.1,0.195,87.4,0.023827
0.2,0.1,0.2,87.5,0.023827
0.2,0.2,0.0,45.0,0.048551
0.2,0.2,0.004855,45.3,0.048551
0.2,0.2,0.005,45.3,0.048551
0.2,0.2,0.00971,45.6,0.048551
0.2,0.2,0.01,45.7,0.048551
0.2,0.2,0.014565,46.0,0.048551
0.2,0.2,0.015,46.0,0.048551
0.2,0.2,0.01942,46.3,0.048551
0.2,0.2,0.02,46.3,0.048551
0.2,0.2,0.024276,46.6,0.048551
0.2,0.2,0.025,46.7,0.048551
0.2,0.2,0.029131,56.1,0.048551
0.2,0.2,0.03,57.6,0.048551
0.2,0.2,0.033986,62.7,0.048551
0.2,0.2,0.035,63.6,0.048551
0.2,0.2,0.038841,66.6,0.048551
0.2,0.2,0.04,67.4,0.048551
0.2,0.2,0.043696,69.5,0.048551
0.2,0.2,0.045,70.1,0.048551
0.2,0.2,0.048551,71.6,0.048551
0.2,0.2,0.05,72.1,0.048551
0.2,0.2,0.053406,73.3,0.048551
